,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
116,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Wikipedia--it_text_document,1190897220,1782579,9,4096,it,Wikipedia.it,,false,wiki,1.87,1.06,6.161,567,5.8,1.959,1.85,3.14,3.0,1190897220,3572691660.0,0.0037053004646188407,0.006504980293297054
67,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Pile--FreeLaw_text_document,3431712622,2225703,2,4096,en,Pile,FreeLaw,false,legi_written,3.415,8.204,52.58,2403,6.4,14.011,1.71,3.75,1.0,3431712622,3431712622.0,0.01067726597996,0.006248292632778939
102,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--ruby_text_document,1599086312,3338630,4,4096,code,TheStack,ruby,false,programming,3.405,0.646,7.139,190,11.1,2.392,3.7,2.98,2.0,1599086312,3198172624.0,0.004975320418347461,0.005823074553733564
92,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--kotlin_text_document,1341589993,2194986,4,4096,code,TheStack,kotlin,false,programming,2.243,0.454,5.769,202,12.7,1.758,3.87,3.28,2.0,1341589993,2683179986.0,0.004174158727476824,0.004885401426525306
105,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--swift_text_document,1257854420,1693515,4,4096,code,TheStack,swift,false,programming,1.756,0.553,6.134,315,11.1,1.876,3.39,3.27,2.0,1257854420,2515708840.0,0.003913627883730271,0.004580478245881759
103,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--rust_text_document,1208083256,1230470,4,4096,code,TheStack,rust,false,programming,1.387,0.872,9.529,629,10.9,3.241,3.72,2.94,2.0,1208083256,2416166512.0,0.0037587722723502887,0.0043992364977514685
104,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--scala_text_document,1012850279,1301844,4,4096,code,TheStack,scala,false,programming,1.362,0.457,4.862,335,10.6,1.587,3.47,3.06,2.0,1012850279,2025700558.0,0.0031513337560465735,0.003688295398520578
65,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Persee_text_document,851351942,752598,2,4096,fr,Persee,,true,technical,1.094,3.25,20.314,2970,6.2,5.754,1.77,3.53,2.0,851351942,1702703884.0,0.002648855579868389,0.0031001990277381933
66,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Pile--DM_Mathematics_text_document,497443182,141905,28,4096,en,Pile,DM_Mathematics,false,math,0.992,1.746,8.127,1760,4.7,4.928,2.82,1.65,3.0,497443182,1492329546.0,0.0015477208464606833,0.0027171598368035317
6,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Claire--en--MediaSum_text_document,722490256,416750,27,4096,en,Claire.en,,false,dialogue,0.949,0.818,4.709,861,5.8,1.161,1.42,4.06,2.0,722490256,1444980512.0,0.002247921513528586,0.002630949057260174
83,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--dart_text_document,673916694,891382,4,4096,code,TheStack,dart,false,programming,0.933,0.308,3.864,331,12.5,1.242,4.03,3.11,2.0,673916694,1347833388.0,0.0020967920635439835,0.0024540683781224494
59,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/OpenEdition_text_document,641404254,653047,2,4096,fr,OpenEdition,,false,technical,0.939,2.225,14.459,2369,6.5,3.604,1.62,4.01,2.0,641404254,1282808508.0,0.0019956344178506864,0.0023356742923104075
68,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Pile--NIH_ExPorter_text_document,431140903,914299,3,4085,en,Pile,NIH_ExPorter,false,technical,0.914,0.288,1.979,315,6.9,0.431,1.5,4.59,2.5,431140903,1077852257.5,0.001341431117122002,0.0019625000871536843
56,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/OpenData--inca_opendata_text_document,440838747,338501,83,4096,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,440838747,881677494.0,0.0013716045235885996,0.001605314779253447
93,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--lua_text_document,421966738,507368,4,4096,code,TheStack,lua,false,programming,0.559,0.318,3.279,570,10.3,1.367,4.29,2.4,2.0,421966738,843933476.0,0.0013128870603670538,0.0015365923378435858
88,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--haskell_text_document,419729918,509873,4,4096,code,TheStack,haskell,false,programming,0.545,0.307,2.364,563,7.7,0.807,2.63,2.93,2.0,419729918,839459836.0,0.0013059275259537746,0.0015284469553676447
51,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/MathPile--stackexchange_text_document,238650572,259771,29,4096,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,238650572,715951716.0,0.0007425259379756988,0.0013035694783501716
106,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--tex_text_document,319776190,322508,4,4096,code,TheStack,tex,false,programming,0.398,0.394,3.805,989,9.7,1.507,3.83,2.53,2.0,319776190,639552380.0,0.000994936292975008,0.0011644653455572006
