,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
48,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/MathPile--arXiv_text_document,25586488,9468,6,4096,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,25586488,76759464.0,7.958964354519677e-05,0.00013973646282750584
54,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/OpenData--balo_opendata_text_document,32985896,126784,30,4096,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,32985896,65971792.0,0.00010260633286830658,0.00012009808797612171
100,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--r_text_document,31431202,35068,4,4096,code,TheStack,r,false,programming,0.039,0.028,0.305,711,10.9,0.158,5.67,1.93,2.0,31431202,62862404.0,9.77702826342199e-05,0.0001144376148821682
58,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/OpenData--sarde_opendata_text_document,30316655,224296,6,4080,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,30316655,60633310.0,9.430335905938741e-05,0.00011037966952092889
22,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Claire--fr--Theatre_text_document,25317242,31419,10,4089,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,25317242,50634484.0,7.875212363367277e-05,9.217734625213041e-05
41,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/GallicaPress--txt_text_document,46135273,15716,40,4096,fr,GallicaPress,,true,newspaper,3.205,67.496,408.882,21061,6.1,121.606,1.8,3.36,1.0,46135273,46135273.0,0.0001435089463208214,8.398677537145562e-05
69,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Pile--PhilPapers_text_document,10255211,4332,4,4096,en,Pile,PhilPapers,false,technical,0.031,0.363,2.304,11801,6.3,0.618,1.7,3.73,2.5,10255211,25638027.5,3.1899985178535675e-05,4.667264582155397e-05
50,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/MathPile--proofwiki_text_document,7895461,23590,27,4062,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,7895461,23686383.0,2.4559717871987857e-05,4.3119782305899976e-05
94,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--mathematica_text_document,8419860,6888,5,4096,code,TheStack,mathematica,false,programming,0.027,0.12,1.72,4454,14.4,1.117,9.32,1.54,2.0,8419860,16839720.0,2.6190919836300334e-05,3.065580171072595e-05
7,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Claire--en--OANC_text_document,7311527,3384,230,4094,en,Claire.en,,false,dialogue,0.949,0.818,4.709,861,5.8,1.161,1.42,4.06,2.0,7311527,14623054.0,2.2743325606119994e-05,2.66204808529618e-05
