,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
86,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--lua_text_document,944966329,51493,4097,978161,code,TheStack,lua,false,programming,0.559,0.318,3.279,570,10.3,1.367,4.29,2.4,2.0,944966329,1889932658.0,0.002060501006744396,0.002349613377295329
90,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--perl_text_document,830966804,46381,4097,1167758,code,TheStack,perl,false,programming,0.392,0.297,2.634,757,8.9,1.149,3.87,2.29,2.0,830966804,1661933608.0,0.0018119248100883108,0.002066159035351984
95,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--ruby_text_document,793255231,66744,4097,1029268,code,TheStack,ruby,false,programming,3.405,0.646,7.139,190,11.1,2.392,3.7,2.98,2.0,793255231,1586510462.0,0.001729694648284932,0.00197239102089435
62,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Pile--PhilPapers_text_document,607637896,26441,4097,2387801,en,Pile,PhilPapers,false,technical,0.031,0.363,2.304,11801,6.3,0.618,1.7,3.73,2.5,607637896,1519094740.0,0.0013249556709274523,0.0018885780439712205
71,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--assembly_text_document,707372958,37324,4097,938047,code,TheStack,assembly,false,programming,0.248,0.209,1.575,840,7.5,0.867,4.15,1.82,2.0,707372958,1414745916.0,0.0015424281769332348,0.0017588488751896754
79,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--fortran_text_document,643710574,34664,4097,968014,code,TheStack,fortran,false,programming,0.165,0.192,1.843,1158,9.6,0.78,4.07,2.36,2.0,643710574,1287421148.0,0.0014036122188423635,0.0016005554159558364
98,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--swift_text_document,618552429,62629,4097,707934,code,TheStack,swift,false,programming,1.756,0.553,6.134,315,11.1,1.876,3.39,3.27,2.0,618552429,1237104858.0,0.0013487548323837595,0.001538000897105953
97,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--scala_text_document,574445954,60582,4097,479488,code,TheStack,scala,false,programming,1.362,0.457,4.862,335,10.6,1.587,3.47,3.06,2.0,574445954,1148891908.0,0.0012525805737330616,0.001428332266060643
76,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--dart_text_document,568125808,41201,4097,1609976,code,TheStack,dart,false,programming,0.933,0.308,3.864,331,12.5,1.242,4.03,3.11,2.0,568125808,1136251616.0,0.001238799482496136,0.0014126175266754057
85,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--kotlin_text_document,416141317,47785,4097,708202,code,TheStack,kotlin,false,programming,2.243,0.454,5.769,202,12.7,1.758,3.87,3.28,2.0,416141317,832282634.0,0.0009073969900428472,0.0010347153917147625
84,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--julia_text_document,401840479,27437,4097,847188,code,TheStack,julia,false,programming,0.299,0.152,1.539,510,10.1,0.66,4.34,2.33,2.0,401840479,803680958.0,0.0008762139836308922,0.0009991570450942095
81,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--haskell_text_document,387103872,35096,4097,962504,code,TheStack,haskell,false,programming,0.545,0.307,2.364,563,7.7,0.807,2.63,2.93,2.0,387103872,774207744.0,0.000844080782026101,0.0009625151797911508
38,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Gutenberg--fr.80_text_document,382526950,3394,4100,998594,fr,Gutenberg.fr,,false,book,0.003,0.227,1.392,65807,6.1,0.383,1.69,3.64,2.0,382526950,765053900.0,0.0008341007942748225,0.0009511348831308268
89,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--ocaml_text_document,312828599,17923,4097,854746,code,TheStack,ocaml,false,programming,0.16,0.13,1.107,812,8.5,0.43,3.31,2.58,2.0,312828599,625657198.0,0.0006821233978358386,0.0007778332819422142
45,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/MathPile--textbooks_text_document,197870923,2188,4102,1804711,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,197870923,593612769.0,0.00043145795097101585,0.0007379948153558611
102,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/ValidatedYouTube--fr_text_document,291458469,6122,4097,233112844,fr,ValidatedYouTube.fr,,false,dialogue,0.038,0.145,1.003,3862,6.9,0.336,2.32,2.98,2.0,291458469,582916938.0,0.0006355257858067875,0.0007246974803992364
35,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Gutenberg--de.70_text_document,193252139,1835,4100,2187788,de,Gutenberg.de,,false,book,0.002,0.099,0.654,52404,6.6,0.193,1.96,3.38,3.0,193252139,579756417.0,0.00042138668304339967,0.0007207682385876889
5,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Claire--en--MediaSum_text_document,289683108,41543,4097,123387,en,Claire.en,,false,dialogue,0.949,0.818,4.709,861,5.8,1.161,1.42,4.06,2.0,289683108,579366216.0,0.0006316546075271276,0.0007202831305678062
47,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/OpenData--balo_opendata_text_document,257682919,8791,4097,4774842,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,257682919,515365838.0,0.0005618781301786835,0.0006407161980296429
