language ,name                ,subset       , M pages, B words, B chars,#words/page,#chars/word, B tokens,#tokens/words,#chars/tokens
en       ,AmericanStories     ,1846         ,   0.060,   0.011,   0.063,        181,        5.8,         ,            ,            
en       ,AmericanStories     ,1870         ,   0.067,   0.011,   0.062,        158,        5.8,         ,            ,            
en       ,AmericanStories     ,1957         ,   0.073,   0.010,   0.059,        140,        5.8,         ,            ,            
en       ,AmericanStories     ,1868         ,   0.058,   0.010,   0.058,        174,        5.7,         ,            ,            
en       ,AmericanStories     ,1863         ,   0.061,   0.010,   0.056,        160,        5.7,         ,            ,            
en       ,AmericanStories     ,1852         ,   0.040,   0.009,   0.051,        223,        5.8,         ,            ,            
en       ,AmericanStories     ,1857         ,   0.058,   0.009,   0.050,        151,        5.7,         ,            ,            
en       ,AmericanStories     ,1854         ,   0.055,   0.009,   0.050,        160,        5.8,         ,            ,            
en       ,AmericanStories     ,1844         ,   0.036,   0.008,   0.048,        234,        5.7,         ,            ,            
en       ,AmericanStories     ,1851         ,   0.039,   0.008,   0.044,        192,        5.8,         ,            ,            
en       ,AmericanStories     ,1865         ,   0.039,   0.006,   0.035,        156,        5.7,         ,            ,            
en       ,AmericanStories     ,1956         ,   0.050,   0.006,   0.035,        120,        5.8,         ,            ,            
en       ,AmericanStories     ,1958         ,   0.049,   0.006,   0.035,        122,        5.8,         ,            ,            
en       ,AmericanStories     ,1849         ,   0.027,   0.006,   0.033,        215,        5.7,         ,            ,            
en       ,AmericanStories     ,1848         ,   0.025,   0.006,   0.032,        228,        5.7,         ,            ,            
en       ,AmericanStories     ,1864         ,   0.035,   0.005,   0.031,        153,        5.7,         ,            ,            
en       ,AmericanStories     ,1841         ,   0.020,   0.004,   0.026,        224,        5.8,         ,            ,            
en       ,AmericanStories     ,1850         ,   0.021,   0.004,   0.025,        202,        5.8,         ,            ,            
en       ,AmericanStories     ,1847         ,   0.019,   0.004,   0.023,        218,        5.7,         ,            ,            
en       ,AmericanStories     ,1853         ,   0.025,   0.004,   0.021,        149,        5.8,         ,            ,            
en       ,AmericanStories     ,1842         ,   0.012,   0.003,   0.015,        219,        5.7,         ,            ,            
en       ,AmericanStories     ,1843         ,   0.015,   0.002,   0.013,        156,        5.7,         ,            ,            
en       ,AmericanStories     ,1831         ,   0.007,   0.002,   0.010,        266,        5.8,         ,            ,            
en       ,AmericanStories     ,1827         ,   0.006,   0.002,   0.010,        268,        5.7,         ,            ,            
en       ,AmericanStories     ,1834         ,   0.004,   0.001,   0.006,        254,        5.7,         ,            ,            
en       ,AmericanStories     ,1837         ,   0.005,   0.001,   0.006,        226,        5.7,         ,            ,            
en       ,AmericanStories     ,1833         ,   0.004,   0.001,   0.006,        272,        5.7,         ,            ,            
en       ,AmericanStories     ,1838         ,   0.004,   0.001,   0.006,        237,        5.7,         ,            ,            
en       ,AmericanStories     ,1830         ,   0.003,   0.001,   0.006,        323,        5.8,         ,            ,            
en       ,AmericanStories     ,1825         ,   0.004,   0.001,   0.005,        266,        5.7,         ,            ,            
en       ,AmericanStories     ,1840         ,   0.004,   0.001,   0.005,        204,        5.7,         ,            ,            
en       ,AmericanStories     ,1836         ,   0.004,   0.001,   0.005,        197,        5.8,         ,            ,            
en       ,AmericanStories     ,1835         ,   0.004,   0.001,   0.005,        202,        5.7,         ,            ,            
en       ,AmericanStories     ,1832         ,   0.004,   0.001,   0.005,        214,        5.7,         ,            ,            
en       ,AmericanStories     ,1828         ,   0.003,   0.001,   0.004,        222,        5.8,         ,            ,            
en       ,AmericanStories     ,1826         ,   0.004,   0.001,   0.004,        190,        5.8,         ,            ,            
en       ,AmericanStories     ,1829         ,   0.002,   0.001,   0.004,        291,        5.7,         ,            ,            
en       ,AmericanStories     ,1839         ,   0.003,   0.001,   0.003,        168,        5.7,         ,            ,            
en       ,AmericanStories     ,1824         ,   0.001,   0.000,   0.001,        184,        5.7,         ,            ,            
en       ,AmericanStories     ,1806         ,   0.001,   0.000,   0.001,        166,        5.7,         ,            ,            
en       ,AmericanStories     ,1818         ,   0.001,   0.000,   0.001,        198,        5.7,         ,            ,            
en       ,AmericanStories     ,1805         ,   0.001,   0.000,   0.001,        164,        5.7,         ,            ,            
en       ,AmericanStories     ,1819         ,   0.001,   0.000,   0.001,        167,        5.7,         ,            ,            
en       ,AmericanStories     ,1823         ,   0.000,   0.000,   0.001,        230,        5.7,         ,            ,            
en       ,AmericanStories     ,1820         ,   0.000,   0.000,   0.000,        243,        5.7,         ,            ,            
en       ,AmericanStories     ,1799         ,   0.000,   0.000,   0.000,        231,        5.6,         ,            ,            
en       ,AmericanStories     ,1816         ,   0.000,   0.000,   0.000,        216,        5.7,         ,            ,            
en       ,AmericanStories     ,1821         ,   0.000,   0.000,   0.000,        219,        5.8,         ,            ,            
en       ,AmericanStories     ,1810         ,   0.000,   0.000,   0.000,        152,        5.8,         ,            ,            
en       ,AmericanStories     ,1822         ,   0.000,   0.000,   0.000,        188,        5.8,         ,            ,            
en       ,AmericanStories     ,1814         ,   0.000,   0.000,   0.000,        163,        5.7,         ,            ,            
en       ,AmericanStories     ,1803         ,   0.000,   0.000,   0.000,        159,        5.6,         ,            ,            
en       ,AmericanStories     ,1815         ,   0.000,   0.000,   0.000,        218,        5.6,         ,            ,            
en       ,AmericanStories     ,1817         ,   0.000,   0.000,   0.000,        158,        5.8,         ,            ,            
en       ,AmericanStories     ,1802         ,   0.000,   0.000,   0.000,         63,        5.7,         ,            ,            
en       ,AmericanStories     ,1808         ,   0.000,   0.000,   0.000,        288,        5.7,         ,            ,            
en       ,AmericanStories     ,1809         ,   0.000,   0.000,   0.000,         88,        5.7,         ,            ,            
en       ,AmericanStories     ,1801         ,   0.000,   0.000,   0.000,        182,        5.8,         ,            ,            
en       ,AmericanStories     ,1807         ,   0.000,   0.000,   0.000,         85,        5.7,         ,            ,            
en       ,AmericanStories     ,1813         ,   0.000,   0.000,   0.000,        102,        5.7,         ,            ,            
en       ,AmericanStories     ,1804         ,   0.000,   0.000,   0.000,        117,        5.6,         ,            ,            
en       ,AmericanStories     ,1812         ,   0.000,   0.000,   0.000,        155,        5.7,         ,            ,            
en       ,AmericanStories     ,1800         ,   0.000,   0.000,   0.000,        109,        6.0,         ,            ,            
en       ,AmericanStories     ,1811         ,   0.000,   0.000,   0.000,        102,        6.0,         ,            ,            
en       ,AmericanStories     ,1798         ,   0.000,   0.000,   0.000,         56,        5.7,         ,            ,            
en       ,AmericanStories     ,1774         ,   0.000,   0.000,   0.000,          0,        0.0,         ,            ,            
en       ,Wikipedia.en        ,             ,   6.893,   4.708,  26.616,        683,        5.7,    8.315,        1.77,        3.20
en       ,Gutenberg.en        ,             ,   0.056,   3.642,  21.203,      64682,        5.8,    5.998,        1.65,        3.53
en       ,Eurovoc.en          ,             ,   0.274,   1.567,   9.813,       5721,        6.3,    2.848,        1.82,        3.45
en       ,Claire.en           ,MediaSum     ,   0.458,   0.738,   4.226,       1611,        5.7,    1.066,        1.44,        3.96
en       ,Claire.en           ,DialogStudio ,   0.473,   0.061,   0.378,        129,        6.2,    0.123,        2.01,        3.09
en       ,Claire.en           ,BNC          ,   0.001,   0.011,   0.060,      11760,        5.6,    0.018,        1.64,        3.42
en       ,Claire.en           ,OANC         ,   0.004,   0.005,   0.027,       1366,        5.6,    0.008,        1.72,        3.24
en       ,Claire.en           ,DailyDialog  ,   0.013,   0.001,   0.007,         97,        5.9,    0.002,        1.88,        3.14
en       ,Claire.en           ,ICSI         ,   0.000,   0.001,   0.006,      11841,        6.2,    0.002,        2.09,        2.98
en       ,Claire.en           ,AMI          ,   0.000,   0.001,   0.005,       5744,        6.3,    0.002,        2.14,        2.95
en       ,Claire.en           ,ETELECSC     ,   0.000,   0.000,   0.000,       4384,        5.3,    0.000,        1.50,        3.56
en       ,Europarl.en         ,             ,   0.011,   0.056,   0.339,       5071,        6.0,    0.073,        1.30,        4.65
fr-en    ,CroissantAligned    ,train        , 408.029,  16.469, 102.757,         40,        6.2,         ,            ,            
fr-en    ,EuroparlAligned.fr-e,             ,   2.003,   0.105,   0.655,         52,        6.2,         ,            ,            
de       ,Wikipedia.de        ,             ,   2.877,   1.709,  11.252,        594,        6.6,    3.826,        2.24,        2.94
de       ,Eurovoc.de          ,             ,   0.248,   0.713,   5.199,       2871,        7.3,    1.777,        2.49,        2.93
de       ,Gutenberg.de        ,             ,   0.002,   0.088,   0.583,      54619,        6.6,    0.218,        2.49,        2.67
de       ,Europarl.de         ,             ,   0.010,   0.045,   0.327,       4444,        7.2,    0.086,        1.90,        3.82
es       ,Wikipedia.es        ,             ,   1.947,   1.245,   7.161,        639,        5.8,    2.322,        1.87,        3.08
es       ,Eurovoc.es          ,             ,   0.247,   0.789,   4.895,       3198,        6.2,    1.620,        2.05,        3.02
es       ,Europarl.es         ,             ,   0.010,   0.052,   0.325,       5086,        6.2,    0.083,        1.59,        3.89
es       ,Gutenberg.es        ,             ,   0.001,   0.050,   0.296,      72564,        5.9,    0.102,        2.05,        2.89
it       ,Wikipedia.it        ,             ,   1.870,   1.060,   6.161,        567,        5.8,    2.129,        2.01,        2.89
it       ,Eurovoc.it          ,             ,   0.246,   0.732,   4.881,       2973,        6.7,    1.659,        2.27,        2.94
it       ,Gutenberg.it        ,             ,   0.001,   0.067,   0.423,      70019,        6.3,    0.142,        2.12,        2.98
es-en    ,EuroparlAligned.es-e,             ,   1.961,   0.103,   0.631,         52,        6.1,    0.157,        1.53,        4.02
it-en    ,EuroparlAligned.it-e,             ,   1.901,   0.100,   0.638,         52,        6.4,    0.165,        1.65,        3.87
de-fr    ,EuroparlAligned.de-f,             ,   1.792,   0.091,   0.621,         51,        6.8,         ,            ,            
code     ,TheStack            ,javascript   ,  21.109,   8.526, 141.647,        404,       16.6,   61.531,        7.22,        2.30
code     ,TheStack            ,java         ,  20.152,   7.421,  89.297,        368,       12.0,   29.239,        3.94,        3.05
code     ,TheStack            ,c            ,   8.626,   5.916,  57.428,        686,        9.7,   25.380,        4.29,        2.26
code     ,TheStack            ,python       ,  12.962,   5.434,  64.304,        419,       11.8,   22.973,        4.23,        2.80
code     ,TheStack            ,php          ,  15.905,   4.865,  66.844,        306,       13.7,   23.991,        4.93,        2.79
code     ,TheStack            ,c++          ,   6.378,   4.584,  50.892,        719,       11.1,   19.943,        4.35,        2.55
code     ,TheStack            ,c#           ,  10.839,   3.574,  46.286,        330,       13.0,   14.132,        3.95,        3.28
code     ,TheStack            ,go           ,   4.730,   2.735,  25.738,        578,        9.4,   10.754,        3.93,        2.39
code     ,TheStack            ,typescript   ,  10.637,   2.617,  28.815,        246,       11.0,   10.314,        3.94,        2.79
code     ,TheStack            ,rust         ,   1.387,   0.872,   9.529,        629,       10.9,    3.406,        3.91,        2.80
code     ,TheStack            ,ruby         ,   3.405,   0.646,   7.139,        190,       11.1,    2.532,        3.92,        2.82
code     ,TheStack            ,swift        ,   1.756,   0.553,   6.134,        315,       11.1,    1.980,        3.58,        3.10
code     ,TheStack            ,scala        ,   1.362,   0.457,   4.862,        335,       10.6,    1.678,        3.67,        2.90
code     ,TheStack            ,kotlin       ,   2.243,   0.454,   5.769,        202,       12.7,    1.859,        4.10,        3.10
code     ,TheStack            ,tex          ,   0.398,   0.394,   3.805,        989,        9.7,    1.591,        4.04,        2.39
code     ,TheStack            ,lua          ,   0.559,   0.318,   3.279,        570,       10.3,    1.428,        4.48,        2.30
code     ,TheStack            ,dart         ,   0.933,   0.308,   3.864,        331,       12.5,    1.303,        4.22,        2.97
code     ,TheStack            ,haskell      ,   0.545,   0.307,   2.364,        563,        7.7,    0.855,        2.78,        2.77
