tokenizer,vocabulary size (tokens),language,dataset,fertility,average token length,processing time,# characters,# words,# tokens
Mistral,32000,Spanish,Gutenberg.es,2.062,2.89,120.05668520927428,151995591,25509320,52592305
Mistral,32000,Spanish,Wikipedia.es,2.036,2.871,938.6589035987854,1161930093,198737225,404701902
Falcon,65024,Code,c++,4.12,2.849,48.65022158622742,25005734,2130370,8778048
Falcon,65024,Code,c++,4.12,2.849,45.36139965057373,25005734,2130370,8778048
Falcon,65024,Code,c++,4.12,2.849,44.68352007865906,25005734,2130370,8778048
Falcon,65024,Code,c++,4.12,2.849,48.52720546722412,25005734,2130370,8778048
Falcon,65024,Code,c++,4.12,2.849,48.89715266227722,25005734,2130370,8778048
Falcon,65024,Code,c++,4.12,2.849,48.62668514251709,25005734,2130370,8778048
Falcon,65024,Code,c++,4.12,2.849,48.768043756484985,25005734,2130370,8778048
Falcon,65024,Code,c++,4.12,2.849,48.72199106216431,25005734,2130370,8778048
Falcon,65024,Code,c++,4.12,2.849,49.21458053588867,25005734,2130370,8778048
Falcon,65024,Code,javascript,5.261,2.701,51.12238025665283,25173607,1771785,9320574
Falcon,65024,Code,javascript,5.261,2.701,51.254807233810425,25173607,1771785,9320574
Falcon,65024,Code,javascript,5.261,2.701,50.53153324127197,25173607,1771785,9320574
Falcon,65024,Code,javascript,5.261,2.701,51.823853969573975,25173607,1771785,9320574
Falcon,65024,Code,javascript,5.261,2.701,51.04728150367737,25173607,1771785,9320574
Falcon,65024,Code,javascript,5.261,2.701,49.54390478134155,25173607,1771785,9320574
Falcon,65024,Code,javascript,5.261,2.701,50.98759174346924,25173607,1771785,9320574
Falcon,65024,Code,javascript,5.261,2.701,51.25520825386048,25173607,1771785,9320574
Falcon,65024,Code,javascript,5.261,2.701,51.38287663459778,25173607,1771785,9320574
Falcon,65024,Code,python,3.709,3.172,46.037726640701294,25010643,2125802,7884301
Falcon,65024,Code,python,3.709,3.172,45.01743412017822,25010643,2125802,7884301
Falcon,65024,Code,python,3.709,3.172,43.469417333602905,25010643,2125802,7884301
Falcon,65024,Code,python,3.709,3.172,45.08353805541992,25010643,2125802,7884301
Falcon,65024,Code,python,3.709,3.172,45.78124904632568,25010643,2125802,7884301
Falcon,65024,Code,python,3.709,3.172,45.037471532821655,25010643,2125802,7884301
Falcon,65024,Code,python,3.709,3.172,46.12760639190674,25010643,2125802,7884301
Falcon,65024,Code,python,3.709,3.172,45.44742465019226,25010643,2125802,7884301
Falcon,65024,Code,python,3.709,3.172,45.1301691532135,25010643,2125802,7884301
Falcon,65024,Code,tex,3.691,2.633,42.39050364494324,25358297,2608822,9630285
Falcon,65024,Code,tex,3.691,2.633,45.62566065788269,25358297,2608822,9630285
Falcon,65024,Code,tex,3.691,2.633,47.019914388656616,25358297,2608822,9630285
